Date,Channel,Campaign,Leads,Conversions,Cost,Revenue
2025-01-01,Google Ads,Summer Sale,713,52,2628,5980
2025-01-04,Google Ads,Product Launch,328,47,4256,4136
2025-01-07,Google Ads,Summer Sale,597,46,4939,10764
2025-01-10,Google Ads,Product Launch,557,99,6545,21681
2025-01-13,Email Marketing,Brand Awareness,1069,182,3078,14742
2025-01-16,Facebook Ads,Lead Generation,846,96,2073,12960
2025-01-19,LinkedIn Ads,Summer Sale,339,34,1592,5814
2025-01-22,LinkedIn Ads,Product Launch,691,123,1155,24231
2025-01-25,Organic Search,Summer Sale,925,47,5322,7285
2025-01-28,Organic Search,B2B Growth,543,24,1175,5976
2025-01-31,Facebook Ads,B2B Growth,313,24,7898,2520
2025-02-03,Email Marketing,B2B Growth,1078,194,7633,33562
2025-02-06,Facebook Ads,B2B Growth,877,79,6290,11692
2025-02-09,Google Ads,Product Launch,500,83,6773,11786
2025-02-12,Facebook Ads,Lead Generation,927,96,6042,21312
2025-02-15,Facebook Ads,B2B Growth,264,24,7532,2112
2025-02-18,LinkedIn Ads,Lead Generation,698,28,2528,6300
2025-02-21,LinkedIn Ads,Brand Awareness,1172,136,6066,26792
2025-02-24,Facebook Ads,B2B Growth,435,44,6902,9812
2025-02-27,Organic Search,B2B Growth,1027,179,4071,30788
2025-03-02,Facebook Ads,Brand Awareness,1193,161,1544,14812
2025-03-05,Google Ads,Brand Awareness,477,68,5685,6528
2025-03-08,Email Marketing,Lead Generation,1108,168,2859,37128
2025-03-11,Google Ads,Summer Sale,696,118,6050,19706
2025-03-14,Google Ads,B2B Growth,1040,71,4516,5680
2025-03-17,LinkedIn Ads,Product Launch,515,79,1671,18960
2025-03-20,LinkedIn Ads,Product Launch,557,35,3863,4235
2025-03-23,Organic Search,Product Launch,151,20,4802,1680
2025-03-26,Google Ads,B2B Growth,779,53,1274,7473
2025-03-29,Organic Search,Summer Sale,325,56,4781,5432
2025-04-01,Organic Search,Brand Awareness,412,54,4693,11880
2025-04-04,Facebook Ads,B2B Growth,1016,84,5217,11004
2025-04-07,LinkedIn Ads,Lead Generation,914,139,5039,27105
2025-04-10,Google Ads,Brand Awareness,610,26,3569,2210
2025-04-13,Organic Search,Product Launch,621,93,2604,7533
2025-04-16,Google Ads,Summer Sale,618,26,1057,4264
2025-04-19,Google Ads,Product Launch,637,54,6280,11016
2025-04-22,Facebook Ads,Product Launch,420,72,2790,14472
2025-04-25,Email Marketing,Brand Awareness,343,16,6198,3040
2025-04-28,LinkedIn Ads,Lead Generation,991,148,7876,13764
2025-05-01,Google Ads,Summer Sale,974,115,7358,12305
2025-05-04,Facebook Ads,Brand Awareness,539,84,4475,9660
2025-05-07,Email Marketing,Brand Awareness,720,80,2846,7920
2025-05-10,Email Marketing,Product Launch,350,13,6142,2834
2025-05-13,Google Ads,Summer Sale,634,40,4129,8160
2025-05-16,Email Marketing,Brand Awareness,971,44,2148,7788
2025-05-19,Google Ads,Lead Generation,693,120,7231,23520
2025-05-22,LinkedIn Ads,Lead Generation,1146,73,2355,11315
2025-05-25,Facebook Ads,Summer Sale,274,30,1268,2760
2025-05-28,Organic Search,Lead Generation,1179,170,2089,15980
2025-05-31,Organic Search,Summer Sale,530,23,5674,2231
2025-06-03,Facebook Ads,Lead Generation,395,71,5466,10153
2025-06-06,Organic Search,Product Launch,231,15,4234,3720
2025-06-09,Organic Search,Product Launch,797,142,2936,18744
2025-06-12,LinkedIn Ads,Brand Awareness,693,70,1872,17150
2025-06-15,LinkedIn Ads,Lead Generation,797,141,6959,13818
2025-06-18,Google Ads,Lead Generation,354,14,5204,1876
2025-06-21,Organic Search,B2B Growth,421,56,1363,7952
2025-06-24,LinkedIn Ads,B2B Growth,473,70,7630,15330
2025-06-27,LinkedIn Ads,Product Launch,166,27,3252,6723
2025-06-30,Google Ads,Brand Awareness,691,34,1676,7514
2025-07-03,Facebook Ads,B2B Growth,727,98,2525,16366
2025-07-06,Facebook Ads,B2B Growth,1185,160,2857,14880
2025-07-09,Google Ads,Lead Generation,716,26,829,4290
2025-07-12,Facebook Ads,B2B Growth,480,70,5319,13230
2025-07-15,Organic Search,Summer Sale,379,15,6460,1770
2025-07-18,Organic Search,Summer Sale,906,64,4320,7168
2025-07-21,Google Ads,B2B Growth,896,36,3731,4788
2025-07-24,Facebook Ads,Summer Sale,874,130,5884,15470
2025-07-27,Facebook Ads,Brand Awareness,512,67,1003,8375
2025-07-30,LinkedIn Ads,Lead Generation,658,53,2104,5671
2025-08-02,Email Marketing,Summer Sale,1113,89,2434,17533
2025-08-05,LinkedIn Ads,B2B Growth,616,46,993,11408
2025-08-08,Facebook Ads,Lead Generation,822,59,7880,5723
2025-08-11,LinkedIn Ads,B2B Growth,1193,137,6366,29729
2025-08-14,LinkedIn Ads,Summer Sale,386,67,2939,8375
2025-08-17,Organic Search,B2B Growth,228,16,5687,3056
2025-08-20,LinkedIn Ads,B2B Growth,1043,186,4989,20274
2025-08-23,Email Marketing,Product Launch,539,48,1163,9168
2025-08-26,Google Ads,Product Launch,553,62,4333,6014
2025-08-29,LinkedIn Ads,Product Launch,792,107,7746,11877
2025-09-01,LinkedIn Ads,Product Launch,783,108,4145,17604
2025-09-04,Email Marketing,B2B Growth,410,24,4244,6000
2025-09-07,Email Marketing,Brand Awareness,766,73,5288,5840
2025-09-10,LinkedIn Ads,B2B Growth,580,72,7236,16416
2025-09-13,Organic Search,B2B Growth,1102,146,4422,19564
2025-09-16,Organic Search,Lead Generation,497,24,3124,5064
2025-09-19,Organic Search,B2B Growth,341,58,2724,9222
2025-09-22,Facebook Ads,Brand Awareness,451,16,1178,2272
2025-09-25,Email Marketing,Product Launch,299,39,4195,9399
2025-09-28,Organic Search,Brand Awareness,936,154,4073,21868
2025-10-01,Facebook Ads,Summer Sale,368,60,4282,8160
2025-10-04,Facebook Ads,Product Launch,1101,45,5366,6435
2025-10-07,Google Ads,Lead Generation,423,71,6268,15265
2025-10-10,Organic Search,Product Launch,799,119,4425,28084
2025-10-13,Organic Search,Lead Generation,1063,71,6892,14271
2025-10-16,Email Marketing,B2B Growth,656,100,3071,21300
2025-10-19,Email Marketing,Brand Awareness,712,77,1434,11781
2025-10-22,Facebook Ads,B2B Growth,837,65,5224,6500
2025-10-25,Facebook Ads,Brand Awareness,623,67,6484,7973
